HF Exchange (%),Band Gap (eV)
0,3.0067000000000004
1,3.0995999999999997
2,3.1930999999999994
3,3.2869
4,3.3811
5,3.4759
6,3.5711999999999997
7,3.6668999999999996
8,3.7628999999999997
9,3.8594999999999997
10,3.9564999999999997
11,4.053999999999999
12,4.1518999999999995
13,4.2501999999999995
14,4.3488999999999995
15,4.448200000000001
16,4.5477
17,4.6476999999999995
18,4.7482
19,4.849
20,4.9502
21,5.0518
22,5.1539
23,5.2562999999999995
24,5.3591999999999995
25,5.4623
26,5.565799999999999
27,5.6697
28,5.773999999999999
29,5.8786000000000005
30,5.9837
31,6.0891
32,6.1948
33,6.3009
34,6.4074
35,6.5141
36,6.6177
37,6.725099999999999
38,6.8328999999999995
39,6.940300000000001
40,7.0471
41,7.1542
42,7.2616000000000005
43,7.3693
44,7.4773
45,7.585699999999999
46,7.6942
47,7.8031
48,7.9123
49,8.021799999999999
50,8.131599999999999
51,8.241700000000002
52,8.352
53,8.462599999999998
54,8.5735
55,8.6846
56,8.7961
57,8.9078
58,9.0197
59,9.132000000000001
60,9.244399999999999
61,9.3571
62,9.470199999999998
63,9.5834
64,9.696900000000001
65,9.8107
66,9.924499999999998
67,10.038699999999999
68,10.1531
69,10.267700000000001
70,10.382399999999999
71,10.4974
72,10.612400000000001
73,10.727799999999998
74,10.8433
75,10.9587
76,11.0743
77,11.162999999999998
78,11.2777
79,11.3925
80,11.5076
81,11.622799999999998
82,11.7379
83,11.8536
84,11.9693
85,12.084999999999999
86,12.201
87,12.317400000000001
88,12.434000000000001
89,12.550500000000001
90,12.686699999999998
91,12.803500000000001
92,12.920200000000001
93,13.037400000000002
94,13.1545
95,13.271899999999999
96,13.389500000000002
97,13.5074
98,13.625399999999999
99,13.743200000000002
100,14.005500000000001
